Stock,Start_date,End_date,no_of_data
ACEDBL,2010-04-19,2016-08-07,987
ADBL,2010-08-26,2016-08-14,1352
AHPC,2010-04-19,2016-08-14,1398
ALDBL,2010-10-24,2016-08-14,940
ALICL,2010-05-12,2016-08-14,1328
APEX,2010-05-10,2015-11-26,554
API,2015-11-18,2016-08-14,176
ARDBL,2011-03-16,2016-08-14,721
ARUN,2011-02-21,2016-01-14,254
BARUN,2015-10-14,2016-08-14,172
BBC,2010-04-19,2016-01-14,188
BFCL,2015-07-14,2016-04-06,124
BGDBL,2012-06-05,2016-05-17,142
BHBL,2012-04-02,2016-08-11,356
BLDBL,2010-04-22,2016-06-06,722
BNL,2011-04-19,2014-09-10,36
BNT,2010-12-22,2016-08-11,135
BOK,2010-04-19,2015-12-24,1094
BPCL,2010-04-19,2016-08-14,1042
CBBL,2010-05-30,2016-08-14,883
CBL,2013-03-03,2016-01-25,526
CCBL,2014-06-08,2016-08-14,497
CFCL,2010-04-27,2016-04-11,373
CFL,2010-04-19,2010-04-15,216
CHCL,2010-04-19,2016-08-14,1384
CIT,2010-04-20,2016-08-14,808
CMB,2010-04-19,2010-04-15,113
CNDBL,2011-09-05,2016-06-06,833
CORBL,2011-08-17,2014-12-17,219
CSDBL,2014-03-18,2016-07-31,311
CZBIL,2010-04-19,2016-08-14,1430
DBBL,2010-04-20,2016-08-14,817
DDBL,2010-06-06,2016-08-14,863
EBL,2010-04-19,2016-08-14,1417
EBLCP,2010-04-19,2016-08-14,473
EDBL,2010-04-20,2016-08-11,735
EFL,2010-06-09,2015-12-27,221
EIC,2010-04-19,2016-08-14,485
FBBL,2011-02-01,2016-08-14,950
FMDBL,2012-06-10,2016-08-14,610
GABL,2014-11-06,2015-09-01,46
GBBL,2011-01-03,2016-04-20,1019
GBIME,2010-04-19,2016-08-14,1120
GDBL,2010-05-11,2016-08-14,562
GDBNL,2010-04-21,2015-01-06,107
GFCL,2010-04-19,2016-08-14,389
GFL,2010-07-04,2012-09-12,80
GIMES1,2010-04-22,2016-05-17,538
GLICL,2011-04-27,2016-08-14,1060
GMFIL,2010-05-18,2016-08-14,284
GRAND,2010-04-19,2015-01-29,1037
GRU,2010-05-24,2010-08-19,2
HAMA,2012-01-10,2016-08-14,626
HAMRO,2013-10-08,2016-08-14,119
HBL,2010-04-20,2016-08-14,1369
HDL,2010-06-07,2016-01-14,171
HFL,2011-03-16,2013-09-29,292
HGI,2010-05-31,2016-08-14,573
HIDCL,2010-04-20,2016-08-11,735
ICFC,2010-04-19,2016-08-14,1053
IDBL,2010-04-15,2015-11-26,743
ILFC,2012-07-17,2016-01-25,533
ILFCM,2015-11-26,2016-08-14,163
INDB,2013-01-27,2016-06-22,226
INDBL,2013-03-24,2015-11-26,345
JBBL,2011-01-10,2015-11-26,1057
JBNL,2012-07-15,2016-08-14,736
JEFL,2013-10-08,2016-08-14,333
JFL,2010-05-12,2016-08-14,854
JHBL,2013-10-17,2016-01-14,66
JSLBB,2015-12-10,2016-08-14,27
KADBL,2012-08-16,2016-08-14,285
KAFIL,2010-04-19,2015-08-02,856
KBBL,2010-04-19,2016-08-14,533
KBL,2010-04-26,2016-01-13,1257
KCDBL,2014-11-24,2016-04-19,261
KDBL,2010-06-10,2016-08-14,1102
KEBL,2011-02-08,2016-08-14,490
KFL,2010-04-19,2015-05-27,242
KKBL,2013-02-27,2016-06-02,119
KMBL,2011-08-07,2015-08-02,672
KMBSL,2010-05-18,2012-01-16,124
KMCDB,2014-02-05,2016-08-10,516
KMFL,2015-12-08,2016-08-14,47
KNBL,2011-02-10,2016-08-14,643
KRBL,2011-02-13,2016-08-11,774
LBL,2010-04-26,2016-08-14,1259
LFC,2010-04-19,2016-08-14,103
LFLC,2010-04-27,2016-08-14,799
LGIL,2010-04-19,2016-08-14,947
LICN,2010-04-27,2016-08-14,1088
LLBS,2014-10-14,2016-08-14,366
LUBL,2010-04-19,2015-12-24,1104
LVF1,2015-06-24,2016-08-14,146
MBBL,2010-04-19,2016-06-01,849
MBL,2010-04-19,2016-08-14,1010
MDB,2010-04-20,2016-08-14,1072
MDBL,2010-04-20,2016-03-14,738
MEGA,2013-09-08,2016-08-14,369
MERO,2010-04-22,2016-05-17,538
MFIL,2012-11-08,2016-08-14,192
MFL,2010-05-20,2016-03-13,171
MIDBL,2014-03-04,2016-08-11,121
MLBBL,2014-06-26,2016-08-10,309
MMDBL,2014-09-07,2016-08-14,223
MMFDB,2015-08-25,2016-08-14,157
MNBBL,2011-11-03,2016-08-14,1015
MPFL,2012-02-12,2016-01-14,287
MSBBL,2013-12-10,2016-08-14,240
MSMBS,2015-12-08,2016-08-14,109
MTBL,2014-03-19,2015-11-29,189
NABBC,2010-07-12,2014-01-06,24
NABIL,2010-04-19,2016-08-14,1429
NBB,2010-04-19,2016-08-14,1314
NBBL,2014-04-30,2016-08-14,358
NBF1,2013-05-06,2016-08-14,693
NBIL,2010-06-15,2016-08-14,61
NBL,2012-12-17,2016-08-14,817
NBSL,2013-10-07,2016-07-31,222
NCCB,2010-05-09,2015-11-26,1037
NCDB,2014-03-17,2016-08-11,274
NCM,2010-04-29,2016-08-14,648
NFD,2010-12-15,2014-08-03,7
NFS,2010-06-29,2014-09-24,131
NGBBL,2015-11-24,2016-08-14,173
NHPC,2010-04-19,2016-08-14,1128
NIB,2010-04-19,2016-08-14,1428
NIBSF1,2015-02-18,2016-08-14,252
NICA,2010-04-19,2016-08-14,1193
NICL,2010-06-29,2016-08-14,567
NIDC,2010-07-14,2015-07-22,16
NIL,2010-06-22,2016-08-14,519
NLBBL,2010-08-02,2016-08-14,1098
NLG,2013-07-17,2016-08-14,634
NLIC,2010-05-23,2016-08-14,1140
NLICL,2010-04-21,2016-08-14,1030
NLO,2010-10-06,2015-04-13,8
NMB,2010-04-19,2016-08-14,1134
NMBMF,2015-12-21,2016-08-14,72
NMBSF1,2015-01-01,2016-08-14,276
NNFC,2010-04-19,2016-02-29,609
NNLB,2014-03-17,2016-08-11,369
NSM,2010-04-25,2010-06-06,8
NTC,2010-04-19,2016-08-14,1410
NUBL,2010-05-10,2016-08-14,775
ODBL,2010-08-26,2016-08-14,1075
OHL,2010-04-20,2016-08-14,943
PADBL,2012-10-17,2016-06-14,284
PCBL,2010-04-19,2016-08-14,1435
PFC,2010-04-22,2016-06-01,155
PFCLL,2010-05-18,2015-03-04,91
PFL,2010-04-19,2016-08-14,434
PIC,2010-04-26,2016-08-14,555
PICL,2010-06-08,2016-08-14,514
PLIC,2010-07-13,2016-08-14,1339
PRDBL,2013-10-23,2016-06-30,519
PRIN,2010-04-22,2016-08-14,663
PROFL,2010-04-19,2016-08-14,239
PRVU,2010-04-19,2015-09-30,820
PURBL,2011-11-10,2016-08-14,722
RBBBL,2015-07-14,2016-08-14,227
RBCL,2010-04-19,2016-08-14,831
REDBL,2010-04-21,2016-08-14,946
RHPC,2014-07-13,2016-08-14,433
RJM,2010-05-23,2010-06-02,5
RLFL,2014-08-28,2016-08-14,215
RMDC,2013-10-08,2016-08-14,617
RMFL,2015-12-21,2016-08-04,25
SADBL,2011-11-16,2016-08-14,460
SAFL,2010-04-19,2016-08-14,633
SAJHA,2010-05-10,2013-02-25,39
SANIMA,2010-04-19,2016-08-14,1038
SBBLJ,2010-04-22,2016-05-17,538
SBI,2010-04-19,2016-08-14,1392
SBL,2010-04-20,2016-08-14,1278
SCB,2010-04-19,2016-08-14,1439
SDBL,2010-04-19,2016-08-14,581
SEOS,2014-10-09,2016-08-14,318
SETI,2010-12-22,2016-08-14,645
SEWA,2010-07-14,2016-08-14,1117
SFC,2010-04-21,2010-06-10,2
SFFIL,2010-05-16,2015-11-03,33
SFL,2010-06-06,2016-03-14,336
SHBL,2014-11-10,2016-05-17,164
SHINE,2011-10-31,2015-10-08,407
SHL,2010-05-18,2016-08-14,881
SHPC,2014-01-23,2016-08-14,578
SIC,2010-05-25,2016-08-14,889
SICL,2010-04-19,2016-08-14,960
SIFC,2010-04-21,2015-12-13,329
SIGS1,2013-01-21,2016-08-14,630
SIL,2010-04-19,2016-08-14,958
SINDU,2013-09-08,2016-08-14,314
SKBBL,2013-10-08,2016-08-14,638
SKDBL,2010-05-10,2013-02-25,39
SLBBL,2013-06-19,2016-08-14,502
SLICL,2010-09-26,2016-08-14,1188
SMFDB,2012-07-18,2016-08-14,572
SODBL,2010-05-19,2015-12-23,896
SRBL,2010-04-19,2016-08-14,1429
STC,2010-04-28,2016-06-28,30
SUBBL,2010-05-18,2016-04-20,744
SUPRME,2010-04-19,2015-11-26,909
SWBBL,2010-06-13,2016-08-14,990
SYFL,2013-09-19,2016-08-14,413
TBBL,2010-05-09,2016-08-14,730
TDBL,2014-06-02,2016-08-14,707
TNBL,2011-03-16,2016-08-14,883
TRH,2010-06-08,2016-08-14,700
UFCL,2010-06-06,2016-08-14,442
UFIL,2010-11-30,2016-08-01,939
UFL,2010-04-28,2016-08-14,617
UIC,2010-04-27,2016-08-14,560
UNL,2010-05-18,2016-08-14,402
VBBL,2010-04-19,2015-12-23,808
VLBS,2015-11-09,2016-08-14,160
WDBL,2011-03-15,2016-08-14,952
WMBF,2010-04-20,2012-01-08,109
WOMI,2015-12-10,2016-08-14,86
YETI,2010-09-02,2016-08-14,1023
